     index            Field [G]         Intensity []

         1               1699.8   -0.663385106635946
         2               1700.2   -0.661833704267999
         3               1700.6   -0.663955110295615
         4                 1701   -0.671267158043765
         5               1701.4   -0.682974056189377
         6               1701.8    -0.69499434665803
         7               1702.2   -0.701576249251183
         8               1702.6   -0.698669953638327
         9                 1703   -0.685797634419711
        10               1703.4    -0.66512432038271
        11               1703.8   -0.639911036458216
        12               1704.2   -0.614335924117768
        13               1704.6   -0.593696438081679
        14                 1705   -0.582986335357418
        15               1705.4   -0.584143142368703
        16               1705.8   -0.594519796024542
        17               1706.2   -0.608338646190532
        18               1706.6   -0.620026271979441
        19                 1707    -0.62665162418125
        20               1707.4   -0.627954712275823
        21               1707.8   -0.625071830276283
        22               1708.2   -0.619857166013389
        23               1708.6   -0.614940327919612
        24                 1709   -0.613166217801336
        25               1709.4   -0.616042829606158
        26               1709.8    -0.62261144763761
        27               1710.2   -0.630066287783848
        28               1710.6   -0.635729779292888
        29                 1711   -0.638786851406621
        30               1711.4   -0.640462701499928
        31               1711.8   -0.642574574048922
        32               1712.2   -0.645734086916491
        33               1712.6   -0.648877409403212
        34                 1713   -0.650572477628884
        35               1713.4   -0.650685901608085
        36               1713.8   -0.650583264985471
        37               1714.2   -0.651634510068106
        38               1714.6   -0.653524121822556
        39                 1715   -0.653920710028615
        40               1715.4   -0.649831661517965
        41               1715.8   -0.639822554243437
        42               1716.2   -0.625712917804776
        43               1716.6   -0.612442559176998
        44                 1717    -0.60585742846888
        45               1717.4   -0.609712211808073
        46               1717.8   -0.623758997193363
        47               1718.2   -0.643872710781579
        48               1718.6   -0.663919724931475
        49                 1719   -0.678478677480598
        50               1719.4    -0.68526633172587
        51               1719.8   -0.685928168022656
        52               1720.2   -0.684401795573649
        53               1720.6   -0.683760541280208
        54                 1721   -0.684016410450567
        55               1721.4   -0.682759430696024
        56               1721.8   -0.677753983589355
        57               1722.2    -0.66872052924009
        58               1722.6    -0.65694712378172
        59                 1723   -0.644189992810425
        60               1723.4   -0.632668366466532
        61               1723.8   -0.625669039211061
        62               1724.2   -0.626903656979266
        63               1724.6   -0.638175616848457
        64                 1725   -0.657167071411095
        65               1725.4   -0.677672749647172
        66               1725.8   -0.692829080915544
        67               1726.2   -0.699175144560286
        68               1726.6   -0.698184508095437
        69                 1727   -0.693929104403651
        70               1727.4   -0.689209494783427
        71               1727.8   -0.683832886330492
        72               1728.2   -0.676157066314772
        73               1728.6    -0.66563686644804
        74                 1729    -0.65372643237788
        75               1729.4   -0.642893724820169
        76               1729.8   -0.635330579811125
        77               1730.2   -0.632366106641712
        78               1730.6   -0.634191487828502
        79                 1731   -0.639436442637816
        80               1731.4   -0.645149445961579
        81               1731.8   -0.647938727437577
        82               1732.2   -0.645823366452532
        83               1732.6   -0.639267664664658
        84                 1733   -0.630457892191771
        85               1733.4   -0.621589797010529
        86               1733.8   -0.613851392125071
        87               1734.2   -0.607878204173176
        88               1734.6   -0.604721524498018
        89                 1735   -0.605822558260115
        90               1735.4   -0.611880222670152
        91               1735.8   -0.622061094720266
        92               1736.2   -0.634504466637736
        93               1736.6   -0.647277094176388
        94                 1737   -0.658685951457301
        95               1737.4   -0.667358522565337
        96               1737.8   -0.672813971657888
        97               1738.2   -0.675729301801766
        98               1738.6   -0.676874664706702
        99                 1739    -0.67577830603841
       100               1739.4   -0.671104591223411
       101               1739.8   -0.662557655203273
       102               1740.2   -0.652063929897849
       103               1740.6   -0.642972961104533
       104                 1741   -0.638182061258703
       105               1741.4   -0.638586116212537
       106               1741.8   -0.642586065077921
       107               1742.2   -0.647075624219724
       108               1742.6   -0.649747640585701
       109                 1743    -0.65113575043506
       110               1743.4   -0.654371097945841
       111               1743.8   -0.662583491997793
       112               1744.2   -0.676131209293089
       113               1744.6   -0.691684971978248
       114                 1745   -0.703393020026851
       115               1745.4   -0.705443159960851
       116               1745.8   -0.695281812106259
       117               1746.2   -0.675912361715746
       118               1746.6   -0.655005744760274
       119                 1747   -0.640512036770815
       120               1747.4   -0.635985769629769
       121               1747.8   -0.639489696186502
       122               1748.2   -0.646401464648079
       123               1748.6   -0.652950210649578
       124                 1749   -0.657743443807703
       125               1749.4   -0.661323869273474
       126               1749.8   -0.665033613637206
       127               1750.2   -0.669719426005031
       128               1750.6   -0.674576094803342
       129                 1751   -0.677203053412086
       130               1751.4   -0.675478183715313
       131               1751.8   -0.669628999639826
       132               1752.2   -0.662043463540613
       133               1752.6   -0.654923192043498
       134                 1753    -0.64870983002038
       135               1753.4    -0.64314041063335
       136               1753.8    -0.63912699179491
       137               1754.2   -0.638605975793325
       138               1754.6   -0.642458944188547
       139                 1755   -0.649255062671728
       140               1755.4   -0.656363461312139
       141               1755.8   -0.661926818436768
       142               1756.2   -0.665411248693999
       143               1756.6   -0.666569930654077
       144                 1757   -0.664604961377336
       145               1757.4   -0.658720138198987
       146               1757.8   -0.649236709752586
       147               1758.2   -0.637777531141182
       148               1758.6   -0.626477536803577
       149                 1759   -0.617504583722621
       150               1759.4   -0.613299787131837
       151               1759.8   -0.616239368093375
       152               1760.2   -0.626902417141537
       153               1760.6    -0.64257264972548
