     index            Field [G]         Intensity []

         1               1699.8   -0.595586963309412
         2               1700.2    -0.58733694690472
         3               1700.6   -0.581787062715342
         4                 1701   -0.581162602221737
         5               1701.4   -0.586258924215587
         6               1701.8   -0.595795058911333
         7               1702.2   -0.607636554735047
         8               1702.6   -0.620552282031406
         9                 1703   -0.634112821958492
        10               1703.4     -0.6472016705667
        11               1703.8   -0.657794593746075
        12               1704.2   -0.664577048060892
        13               1704.6   -0.668183487468923
        14                 1705   -0.670408507226966
        15               1705.4   -0.672290466645791
        16               1705.8   -0.673042576418084
        17               1706.2   -0.670740452536847
        18               1706.6   -0.664050842118741
        19                 1707   -0.653422487106582
        20               1707.4   -0.640678067291446
        21               1707.8   -0.627607012211229
        22               1708.2   -0.615275398900849
        23               1708.6   -0.604757959932613
        24                 1709   -0.597942229585897
        25               1709.4   -0.596753253383213
        26               1709.8   -0.601219114410924
        27               1710.2   -0.608607063521049
        28               1710.6   -0.614978503494058
        29                 1711   -0.617873883202265
        30               1711.4   -0.617534761157003
        31               1711.8   -0.615617846902751
        32               1712.2   -0.613023821097158
        33               1712.6   -0.609306537531666
        34                 1713   -0.604239403619431
        35               1713.4   -0.599595771134773
        36               1713.8   -0.598836488585221
        37               1714.2   -0.604553823919559
        38               1714.6   -0.615831769493525
        39                 1715   -0.627908983900852
        40               1715.4   -0.634786291047931
        41               1715.8   -0.633244856180681
        42               1716.2   -0.625432335516962
        43               1716.6   -0.617741433023184
        44                 1717   -0.616443378989061
        45               1717.4   -0.623449601436732
        46               1717.8   -0.635497456351004
        47               1718.2   -0.646844411458005
        48               1718.6    -0.65282822172594
        49                 1719   -0.652031232195441
        50               1719.4   -0.646743716970377
        51               1719.8   -0.642164172255434
        52               1720.2   -0.644204808086215
        53               1720.6   -0.655969189108873
        54                 1721   -0.674695161513228
        55               1721.4   -0.692076313047437
        56               1721.8   -0.698924953074311
        57               1722.2     -0.6911278323023
        58               1722.6   -0.672062117097084
        59                 1723   -0.649632959670271
        60               1723.4   -0.630968178898911
        61               1723.8   -0.619312508482835
        62               1724.2   -0.614571251418965
        63               1724.6   -0.615286409738474
        64                 1725   -0.619563096792263
        65               1725.4   -0.624978530591761
        66               1725.8   -0.629138558520935
        67               1726.2   -0.631324084759399
        68               1726.6   -0.633452837340883
        69                 1727   -0.638603297942609
        70               1727.4    -0.64797888535395
        71               1727.8   -0.659200053516543
        72               1728.2   -0.667621504420822
        73               1728.6   -0.669497260147182
        74                 1729   -0.664461754458898
        75               1729.4   -0.655706611338246
        76               1729.8   -0.647888607716595
        77               1730.2   -0.644097454744042
        78               1730.6   -0.643882150463469
        79                 1731   -0.643880736395658
        80               1731.4    -0.64072605020192
        81               1731.8   -0.633849779696902
        82               1732.2    -0.62576878015534
        83               1732.6   -0.619889054069063
        84                 1733   -0.618260596216714
        85               1733.4   -0.621228895834065
        86               1733.8   -0.628285501879873
        87               1734.2   -0.638230497621407
        88               1734.6   -0.648559846536955
        89                 1735   -0.655918270611437
        90               1735.4   -0.658289219987637
        91               1735.8   -0.656704564789834
        92               1736.2   -0.654071498196572
        93               1736.6   -0.652157756434462
        94                 1737   -0.650293106817116
        95               1737.4   -0.647227698005736
        96               1737.8   -0.643560367076134
        97               1738.2    -0.64155936321913
        98               1738.6   -0.642549824093294
        99                 1739    -0.64488164827344
       100               1739.4   -0.644715540853213
       101               1739.8   -0.638940131473646
       102               1740.2   -0.627700452329009
       103               1740.6   -0.614658160695399
       104                 1741   -0.605097493535141
       105               1741.4   -0.603403365603299
       106               1741.8   -0.611354971872061
       107               1742.2   -0.627671040885616
       108               1742.6   -0.648452900568373
       109                 1743   -0.668161626839719
       110               1743.4   -0.681104733921529
       111               1743.8   -0.683332857544883
       112               1744.2   -0.674351542802469
       113               1744.6    -0.65784555197024
       114                 1745   -0.640950096851157
       115               1745.4   -0.632061129399517
