     index            Field [G]         Intensity []

         1               1699.8   -0.669068205476568
         2               1700.2   -0.668294444633077
         3               1700.6   -0.667953973550651
         4                 1701   -0.666954451254062
         5               1701.4   -0.663971355565533
         6               1701.8   -0.658229194806088
         7               1702.2   -0.650036110187135
         8               1702.6   -0.640391685428094
         9                 1703   -0.630118562402672
        10               1703.4   -0.619634219959673
        11               1703.8   -0.609567445950233
        12               1704.2   -0.601264908844314
        13               1704.6   -0.596444543094549
        14                 1705    -0.59641390080651
        15               1705.4   -0.601623476773966
        16               1705.8   -0.611503407933924
        17               1706.2   -0.624224454826617
        18               1706.6   -0.636947723869525
        19                 1707   -0.647336412432196
        20               1707.4   -0.655344861581398
        21               1707.8   -0.662993578524038
        22               1708.2   -0.671697878955456
        23               1708.6   -0.679902730604226
        24                 1709   -0.683882834513497
        25               1709.4   -0.681022572214715
        26               1709.8   -0.672127612291661
        27               1710.2   -0.660767549612501
        28               1710.6   -0.651057330615004
        29                 1711   -0.646114688468515
        30               1711.4   -0.647391985257855
        31               1711.8   -0.653977873720578
        32               1712.2   -0.662297239425243
        33               1712.6   -0.667496178000874
        34                 1713   -0.666163589121425
        35               1713.4   -0.658194453637407
        36               1713.8   -0.646326152134861
        37               1714.2   -0.634231395619281
        38               1714.6   -0.625010224597645
        39                 1715   -0.620682498105452
        40               1715.4   -0.621978536903043
        41               1715.8   -0.628099681860476
        42               1716.2   -0.637072294724931
        43               1716.6   -0.646918951708358
        44                 1717   -0.656613824976375
        45               1717.4   -0.665792925952701
        46               1717.8   -0.673723910367698
        47               1718.2   -0.679049690719694
        48               1718.6    -0.68090097240929
        49                 1719   -0.680207187651831
        50               1719.4   -0.679566711172811
        51               1719.8   -0.681502943996747
        52               1720.2   -0.686660507722991
        53               1720.6    -0.69348171758611
        54                 1721    -0.69932197129674
        55               1721.4    -0.70178907346417
        56               1721.8    -0.69940447773115
        57               1722.2   -0.691667298320681
        58               1722.6    -0.67910335677152
        59                 1723   -0.663578357671213
        60               1723.4    -0.64839330061659
        61               1723.8   -0.637336392086581
        62               1724.2   -0.632743877911707
        63               1724.6   -0.634035515584401
        64                 1725   -0.638226683033281
        65               1725.4   -0.642106052189774
        66               1725.8   -0.644162546515872
        67               1726.2   -0.644848809846735
        68               1726.6   -0.645555283866997
        69                 1727   -0.647537825294421
        70               1727.4   -0.651397049070511
        71               1727.8   -0.656847767182626
        72               1728.2   -0.662517039985687
        73               1728.6   -0.666095331638644
        74                 1729   -0.665403051309113
        75               1729.4   -0.660177524405299
        76               1729.8   -0.653074870890123
        77               1730.2   -0.648280120942218
        78               1730.6   -0.648310032665904
        79                 1731    -0.65195539596607
        80               1731.4   -0.655493500904413
        81               1731.8   -0.655847527843434
        82               1732.2   -0.652611510005954
        83               1732.6   -0.647713890306477
        84                 1733   -0.643945162526506
        85               1733.4   -0.643684541202674
        86               1733.8   -0.647978566201346
        87               1734.2   -0.655905843370419
        88               1734.6   -0.664711594974506
        89                 1735   -0.671022144451854
        90               1735.4   -0.672542859290843
        91               1735.8   -0.669207014747371
        92               1736.2   -0.663219145782932
        93               1736.6   -0.658167308276461
        94                 1737    -0.65769740271935
        95               1737.4   -0.664136156403401
        96               1737.8   -0.677415801568714
        97               1738.2   -0.694933603168465
        98               1738.6   -0.712841887645482
        99                 1739   -0.728044917006628
       100               1739.4   -0.739133814473462
       101               1739.8   -0.745528059138451
       102               1740.2   -0.746294748161745
       103               1740.6   -0.740407068609784
       104                 1741   -0.728121778229252
       105               1741.4   -0.711709080416767
       106               1741.8   -0.694693688194093
       107               1742.2   -0.680298650222539
       108               1742.6    -0.67007321343408
       109                 1743   -0.663246007177804
       110               1743.4   -0.657114290086611
       111               1743.8   -0.648504928867624
       112               1744.2   -0.635765883147542
       113               1744.6   -0.620304234602372
