     index            Field [G]         Intensity []

         1               1699.8   -0.692639441624301
         2               1700.2    -0.70473860486664
         3               1700.6   -0.714448416883807
         4                 1701   -0.718160143557907
         5               1701.4   -0.713164285578338
         6               1701.8   -0.699789578988886
         7               1702.2   -0.681975757198456
         8               1702.6   -0.665365817191126
         9                 1703   -0.654682695065089
        10               1703.4   -0.652330494334911
        11               1703.8   -0.658013079242664
        12               1704.2   -0.668580698104051
        13               1704.6   -0.678708885330707
        14                 1705   -0.683270402492781
        15               1705.4   -0.680332848991384
        16               1705.8   -0.672347988751426
        17               1706.2   -0.664457024649892
        18               1706.6    -0.66125937828474
        19                 1707   -0.664228698398801
        20               1707.4    -0.67113666372461
        21               1707.8   -0.677699227097037
        22               1708.2   -0.680506684933789
        23               1708.6   -0.679209396192164
        24                 1709   -0.676071411144221
        25               1709.4   -0.673098568506248
        26               1709.8   -0.669377213678672
        27               1710.2   -0.661397345233127
        28               1710.6   -0.646455809735926
        29                 1711   -0.626216629425471
        30               1711.4   -0.607146068294242
        31               1711.8   -0.597206431615632
        32               1712.2   -0.601289041689597
        33               1712.6   -0.618646572176658
        34                 1713   -0.643718924759014
        35               1713.4   -0.669132991046354
        36               1713.8   -0.688525088553433
        37               1714.2   -0.697925718894112
        38               1714.6   -0.696245095736231
        39                 1715   -0.685664998265565
        40               1715.4   -0.671425286775047
        41               1715.8    -0.65992450153135
        42               1716.2   -0.655522774395649
        43               1716.6    -0.65820864483976
        44                 1717   -0.664052962580172
        45               1717.4   -0.668176996099646
        46               1717.8   -0.667898312196485
        47               1718.2   -0.663679550176312
        48               1718.6   -0.657576839774265
        49                 1719    -0.65115018835786
        50               1719.4   -0.644963137281593
        51               1719.8   -0.639679902422358
        52               1720.2   -0.636779000713432
        53               1720.6   -0.637468269356759
        54                 1721   -0.640974831519998
        55               1721.4   -0.644709839791176
        56               1721.8   -0.646754460241937
        57               1722.2   -0.647997567473794
        58               1722.6   -0.651310635716072
        59                 1723   -0.658646269286692
        60               1723.4   -0.669417062723369
        61               1723.8    -0.68172274272365
        62               1724.2    -0.69436044365284
        63               1724.6     -0.7068324612992
        64                 1725   -0.717561305275012
        65               1725.4   -0.723173481761478
        66               1725.8   -0.720507507729053
        67               1726.2   -0.709492986090481
        68               1726.6    -0.69375252633472
        69                 1727   -0.678326274341089
        70               1727.4   -0.666968358207669
        71               1727.8   -0.661176977191644
        72               1728.2   -0.660473828393151
        73               1728.6   -0.662675362662412
        74                 1729    -0.66468167147832
        75               1729.4   -0.664592088294739
        76               1729.8   -0.663338196056429
        77               1730.2   -0.663225961645367
        78               1730.6   -0.664638596841542
        79                 1731   -0.665335781668546
        80               1731.4   -0.663656609103782
        81               1731.8   -0.661443594945013
