     index            Field [G]         Intensity []

         1               1699.8   -0.647774430843788
         2               1700.2   -0.657647879974692
         3               1700.6    -0.66977903262707
         4                 1701   -0.682742000188356
         5               1701.4   -0.693404525101773
         6               1701.8   -0.698014537845167
         7               1702.2   -0.694714084432091
         8               1702.6   -0.685429373947906
         9                 1703   -0.675108867328226
        10               1703.4   -0.668796707516027
        11               1703.8   -0.668796356134408
        12               1704.2   -0.673672499702661
        13               1704.6   -0.679388683754951
        14                 1705   -0.681724303009105
        15               1705.4   -0.678500528214499
        16               1705.8   -0.670254655822646
        17               1706.2    -0.65910414121754
        18               1706.6   -0.647022941840987
        19                 1707   -0.635109546827152
        20               1707.4   -0.624093465965416
        21               1707.8   -0.614895724254893
        22               1708.2   -0.608393465314293
        23               1708.6   -0.605006372315984
        24                 1709   -0.604991580752539
        25               1709.4   -0.608966680694721
        26               1709.8   -0.617401383075048
        27               1710.2   -0.629092521856364
        28               1710.6   -0.640382949153718
        29                 1711   -0.646675919706468
        30               1711.4   -0.645580320924637
        31               1711.8   -0.639120994055702
        32               1712.2   -0.632930662191939
        33               1712.6   -0.632874332470237
        34                 1713    -0.64166158662556
        35               1713.4   -0.657611492402793
        36               1713.8   -0.675629452278372
        37               1714.2   -0.689240950021485
        38               1714.6   -0.693030945200007
        39                 1715   -0.685219659229915
        40               1715.4   -0.669196470844327
        41               1715.8   -0.652269026912109
        42               1716.2   -0.641547229191929
        43               1716.6    -0.63968436432333
        44                 1717    -0.64394310604257
        45               1717.4   -0.649292565998621
        46               1717.8   -0.652501955330081
        47               1718.2     -0.6535758396858
        48               1718.6   -0.654090295160131
        49                 1719   -0.655109259605524
        50               1719.4   -0.656775328614458
        51               1719.8   -0.658845942067273
        52               1720.2   -0.660573215624026
        53               1720.6    -0.66026253470045
        54                 1721   -0.656186035594146
        55               1721.4   -0.648834102088585
        56               1721.8   -0.641995730919007
        57               1722.2   -0.640732184387161
        58               1722.6   -0.647789907889091
        59                 1723   -0.661931648231985
        60               1723.4   -0.679370373916754
        61               1723.8   -0.696073035040172
        62               1724.2   -0.708699430149863
        63               1724.6   -0.714742478943663
        64                 1725   -0.713459045604395
        65               1725.4   -0.707005919022777
        66               1725.8   -0.699611499308958
        67               1726.2   -0.694610770995496
        68               1726.6   -0.692216105278931
        69                 1727   -0.690515108828549
        70               1727.4   -0.688465360253758
        71               1727.8   -0.687299295284902
        72               1728.2   -0.688739714234543
        73               1728.6   -0.692181359030656
        74                 1729   -0.694038292982441
        75               1729.4   -0.690012383332942
        76               1729.8     -0.6782429822415
        77               1730.2    -0.66090348578291
        78               1730.6   -0.643459086451912
        79                 1731   -0.632383386691799
        80               1731.4    -0.63251442812907
        81               1731.8   -0.644976457690063
        82               1732.2   -0.666434695500357
        83               1732.6    -0.69016542515601
        84                 1733   -0.708669070008909
        85               1733.4   -0.716753217246151
        86               1733.8   -0.713724421220832
        87               1734.2   -0.703583857983176
        88               1734.6   -0.692854973232897
        89                 1735   -0.686919437466713
        90               1735.4   -0.686959295089764
        91               1735.8   -0.689559072008706
        92               1736.2    -0.68922326345637
        93               1736.6   -0.682000364759006
        94                 1737   -0.668009183405957
        95               1737.4   -0.651726808246167
        96               1737.8   -0.639857626665616
        97               1738.2   -0.637426448920451
        98               1738.6   -0.644215792046452
        99                 1739   -0.654458022676408
       100               1739.4   -0.660643720249936
       101               1739.8   -0.658584542077733
       102               1740.2   -0.649523309686629
       103               1740.6   -0.637949393269082
       104                 1741   -0.627826615891536
       105               1741.4   -0.620735803873686
       106               1741.8   -0.616546244003985
       107               1742.2    -0.61466654256219
       108               1742.6   -0.614545107870072
       109                 1743   -0.615887161096907
       110               1743.4   -0.618983731677872
       111               1743.8   -0.624435240220919
       112               1744.2   -0.632001452591794
       113               1744.6   -0.639855090237688
       114                 1745   -0.645495616568951
       115               1745.4   -0.647663544383249
       116               1745.8   -0.647300692980934
       117               1746.2   -0.646573196740064
       118               1746.6   -0.646951748647552
       119                 1747   -0.648122734979552
       120               1747.4    -0.64858261088375
       121               1747.8   -0.647332466061926
       122               1748.2   -0.645225875145115
       123               1748.6   -0.644626874222013
       124                 1749   -0.647301161407086
       125               1749.4   -0.652273354244244
       126               1749.8   -0.655873239578796
       127               1750.2   -0.654375306803558
       128               1750.6   -0.647228069836274
       129                 1751    -0.63828636767721
       130               1751.4   -0.633950861600169
       131               1751.8   -0.639251197702833
       132               1752.2   -0.654416975208733
       133               1752.6   -0.674447770841653
       134                 1753    -0.69215854981303
       135               1753.4   -0.702401618138538
       136               1753.8   -0.704276277436293
       137               1754.2   -0.700141567314859
       138               1754.6   -0.693005091728992
       139                 1755   -0.684639035869623
       140               1755.4   -0.675408038528985
       141               1755.8   -0.665219690774393
       142               1756.2   -0.654525498393923
       143               1756.6   -0.644629878130218
       144                 1757   -0.637103821725759
       145               1757.4   -0.632673458982026
       146               1757.8   -0.630376551183872
       147               1758.2   -0.627706067592953
