     index            Field [G]         Intensity []

         1               1699.8   -0.630532275272071
         2               1700.2   -0.639959828581401
         3               1700.6   -0.652384633143945
         4                 1701   -0.665650672648997
         5               1701.4    -0.67684545688557
         6               1701.8   -0.683744285614383
         7               1702.2   -0.685795385651266
         8               1702.6   -0.683605695087722
         9                 1703   -0.677964602303862
        10               1703.4   -0.669885849247498
        11               1703.8   -0.661144254518149
        12               1704.2   -0.653889247179904
        13               1704.6   -0.649419900080829
        14                 1705   -0.647469259383797
        15               1705.4    -0.64664188826282
        16               1705.8   -0.645342805401015
        17               1706.2   -0.642369842607877
        18               1706.6    -0.63712819488137
        19                 1707   -0.629882656394329
        20               1707.4   -0.622031738530495
        21               1707.8   -0.615834040472691
        22               1708.2     -0.6133571635728
        23               1708.6   -0.615379312563164
        24                 1709   -0.621214970014989
        25               1709.4   -0.629518484551227
        26               1709.8   -0.639198392178514
        27               1710.2   -0.649707609547477
        28               1710.6   -0.660740614337556
        29                 1711   -0.671770867404121
        30               1711.4   -0.681765609268041
        31               1711.8   -0.689301638281904
        32               1712.2   -0.693171449143847
        33               1712.6   -0.693111115775537
        34                 1713   -0.689899409582722
        35               1713.4   -0.684521037175728
        36               1713.8   -0.677085725612415
        37               1714.2   -0.666570442350348
        38               1714.6   -0.651759612665046
        39                 1715   -0.632799727369274
        40               1715.4   -0.612327520750114
        41               1715.8    -0.59519425174949
        42               1716.2   -0.586415356163343
        43               1716.6   -0.588299682363868
        44                 1717   -0.598933865534491
        45               1717.4   -0.613593190879328
        46               1717.8   -0.628037750342628
        47               1718.2   -0.640690829095547
        48               1718.6   -0.651956583358697
        49                 1719   -0.662091006386618
        50               1719.4   -0.670194761056337
        51               1719.8   -0.674894816453161
        52               1720.2   -0.675211048954225
        53               1720.6   -0.670631736553332
        54                 1721   -0.661153421337076
        55               1721.4   -0.648097301411326
        56               1721.8   -0.634885669896903
        57               1722.2   -0.626255313603906
        58               1722.6   -0.625878306796949
        59                 1723   -0.634203271525621
        60               1723.4   -0.648205256926303
        61               1723.8   -0.662959567125654
        62               1724.2   -0.673728820162069
        63               1724.6   -0.677565112084267
        64                 1725   -0.674190584242751
        65               1725.4   -0.665992310401634
        66               1725.8   -0.656802909492399
        67               1726.2   -0.649776725374977
        68               1726.6   -0.645727774957777
        69                 1727   -0.643205263884738
        70               1727.4    -0.64009218452702
        71               1727.8   -0.635348220348533
        72               1728.2   -0.629801220384252
        73               1728.6   -0.625709262101736
        74                 1729    -0.62528300240956
        75               1729.4   -0.628922303549189
        76               1729.8   -0.634551421571814
        77               1730.2   -0.638904750812799
        78               1730.6   -0.639850450490485
        79                 1731   -0.637816132053558
        80               1731.4   -0.635327474446967
        81               1731.8   -0.635261955969327
        82               1732.2   -0.638975688605569
        83               1732.6   -0.645191478790366
        84                 1733   -0.650291594516602
        85               1733.4   -0.650174360256642
        86               1733.8   -0.642774880368961
        87               1734.2   -0.629639735532692
        88               1734.6   -0.615501652391686
        89                 1735   -0.606078710829024
        90               1735.4   -0.605257640629134
        91               1735.8   -0.613142738882743
        92               1736.2    -0.62619279804494
        93               1736.6   -0.639514294598484
        94                 1737    -0.64966429980268
        95               1737.4   -0.655738019515411
        96               1737.8   -0.658216820920643
        97               1738.2   -0.657380631186243
        98               1738.6   -0.653204119538714
        99                 1739   -0.646462263459398
       100               1739.4   -0.639210757733963
       101               1739.8   -0.633802426949842
       102               1740.2   -0.631587505224161
       103               1740.6    -0.63275580782647
       104                 1741   -0.637152293806139
       105               1741.4   -0.644600182728027
       106               1741.8   -0.654085147361911
       107               1742.2   -0.663051774390624
       108               1742.6   -0.668404235599155
       109                 1743   -0.668846047759871
       110               1743.4    -0.66628566460713
       111               1743.8   -0.664647426958254
       112               1744.2   -0.666965561395045
       113               1744.6   -0.673241693148157
       114                 1745   -0.680590926443983
       115               1745.4   -0.685033885158191
       116               1745.8   -0.683328495171736
       117               1746.2   -0.674002885876689
       118               1746.6   -0.657677064518793
       119                 1747   -0.636776406812714
       120               1747.4   -0.614616574988759
       121               1747.8   -0.594327093698666
       122               1748.2   -0.578350838935876
       123               1748.6    -0.56850481445872
       124                 1749   -0.565834065891977
       125               1749.4   -0.570059903002402
       126               1749.8   -0.579515445650031
       127               1750.2   -0.592178858983971
       128               1750.6   -0.606879241153365
       129                 1751   -0.623206029020366
       130               1751.4    -0.64013803605485
       131               1751.8   -0.655060209333897
       132               1752.2   -0.664474608376622
       133               1752.6   -0.665878631130909
       134                 1753   -0.659291372678126
       135               1753.4   -0.647560774530575
       136               1753.8   -0.635545935867412
       137               1754.2   -0.628503643376462
       138               1754.6   -0.630032214685343
       139                 1755   -0.640366081606771
       140               1755.4   -0.656159550053417
       141               1755.8   -0.672265602152038
       142               1756.2   -0.684551383055805
       143               1756.6   -0.691851260766271
       144                 1757   -0.695834336642292
       145               1757.4    -0.69918519998464
       146               1757.8   -0.703470278167515
       147               1758.2   -0.707989533737418
       148               1758.6   -0.710375449263665
       149                 1759   -0.708621806916199
       150               1759.4   -0.702762262459146
       151               1759.8   -0.694358847984404
       152               1760.2   -0.684264102113957
       153               1760.6   -0.671346674775123
       154                 1761   -0.654030128549493
       155               1761.4   -0.633325025890372
       156               1761.8   -0.614098451493192
       157               1762.2   -0.602765300078318
       158               1762.6   -0.603013982246921
       159                 1763   -0.613158917374676
       160               1763.4   -0.627208231169789
       161               1763.8    -0.63842359501723
       162               1764.2   -0.642539176056744
       163               1764.6   -0.639028069716005
       164                 1765   -0.630706090378226
       165               1765.4   -0.622452771742246
       166               1765.8   -0.619326504209312
       167               1766.2   -0.624360518449976
       168               1766.6   -0.636989799626463
       169                 1767   -0.653158064080344
       170               1767.4   -0.667122525577724
       171               1767.8   -0.673858444140933
       172               1768.2   -0.670900249635451
       173               1768.6   -0.659052284616337
       174                 1769   -0.641777792996436
       175               1769.4   -0.623512512647721
       176               1769.8   -0.607958851651347
       177               1770.2   -0.597449616689119
       178               1770.6      -0.593156705203
       179                 1771   -0.595105959073408
